Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,16.110712,8.197254,90.0,top
C1,2.700712,18.877254,0.0,top
C10,-3.249288,21.227254,0.0,bottom
C11,3.080712,7.727254,0.0,top
C12,3.890712,25.677254,90.0,bottom
C13,1.870712,25.677254,90.0,bottom
C14,4.180712,15.817254,180.0,top
C15,8.260712,3.807254,180.0,bottom
C16,3.970712,14.187254,180.0,top
C17,-4.069288,14.237254,180.0,bottom
C18,8.050712,4.677254,180.0,bottom
C19,3.970712,14.947254,180.0,top
C2,2.500712,17.077254,0.0,top
C20,8.050712,5.437254,180.0,bottom
C21,-0.379288,17.377254,0.0,top
C22,2.850712,20.677254,270.0,top
C23,3.320712,6.857254,180.0,bottom
C24,3.310712,8.387254,180.0,bottom
C26,-4.089288,20.787254,90.0,top
C27,9.590712,15.117254,0.0,bottom
C28,8.530712,16.097254,0.0,bottom
C29,12.400712,12.717254,180.0,bottom
C3,2.590712,19.037254,180.0,bottom
C30,15.510712,14.337254,180.0,bottom
C31,15.080712,17.037254,0.0,top
C32,15.090712,17.807254,0.0,top
C33,14.790712,15.457254,90.0,bottom
C34,15.900712,15.857254,0.0,bottom
C35,15.070712,11.317254,0.0,top
C36,16.530712,11.317254,180.0,top
C37,8.460712,2.927254,180.0,bottom
C38,12.460712,9.967254,180.0,top
C39,6.910712,12.737254,90.0,bottom
C4,-1.689288,15.697254,180.0,bottom
C40,11.000712,9.967254,180.0,top
C41,19.880712,10.667254,270.0,bottom
C42,19.900712,17.127254,270.0,bottom
C43,14.780712,8.147254,90.0,bottom
C44,19.100712,9.687254,270.0,bottom
C45,19.140712,16.157254,270.0,bottom
C5,1.570712,14.197254,0.0,bottom
C6,3.500712,1.787254,270.0,bottom
C7,-2.939288,8.738947,270.0,bottom
C8,1.330712,17.087254,270.0,bottom
C9,3.290712,8.597254,0.0,top
D1,3.150712,6.757254,180.0,top
D10,-4.079288,5.459754,90.0,top
D11,-4.209288,23.052254,270.0,top
D12,5.180712,20.967254,0.0,top
D13,4.820712,18.809754,270.0,top
D14,5.180712,20.207254,0.0,top
D2,3.130712,11.607254,180.0,top
D3,3.490712,25.094754,270.0,top
D4,3.130712,10.437254,180.0,top
D5,1.810712,3.937254,90.0,top
D6,1.960712,22.137254,0.0,top
D7,1.820712,3.867254,90.0,bottom
D8,3.070712,13.327254,180.0,top
D9,1.790712,0.917254,0.0,top
H1,18.530712,23.937254,0.0,top
H2,18.530712,3.937254,0.0,top
H3,-1.469288,3.937254,0.0,top
H4,-1.469288,23.937254,0.0,top
J1,-2.449288,11.237254,270.0,top
J10,10.230712,4.127254,0.0,top
J11,25.170712,14.427254,270.0,bottom
J12,25.170712,5.227254,270.0,bottom
J2,11.450712,24.597254,180.0,bottom
J3,25.150712,5.397254,90.0,top
J4,25.135712,14.817254,90.0,top
J5,12.810712,3.297254,0.0,bottom
J6,10.240712,24.527254,180.0,top
J7,25.060712,23.317254,90.0,top
J8,25.120712,23.087254,270.0,bottom
L1,1.510712,11.437254,180.0,bottom
L2,-1.709288,18.567254,0.0,bottom
Q1,2.590712,21.997254,90.0,bottom
R1,3.070712,9.467254,180.0,top
R10,-1.849288,17.377254,0.0,top
R11,-1.769288,7.627254,0.0,bottom
R12,-3.699288,18.547254,270.0,top
R13,-1.419288,8.748947,90.0,bottom
R14,1.730712,21.027254,0.0,top
R15,1.730712,20.267254,0.0,top
R16,-4.459288,17.827254,90.0,top
R17,-3.309288,17.387254,0.0,top
R18,4.480712,13.322254,90.0,bottom
R19,0.315712,0.917254,0.0,top
R2,3.070712,12.567254,180.0,top
R20,-4.079288,4.002254,90.0,top
R21,-4.209288,24.502254,270.0,top
R23,15.190712,20.687254,0.0,top
R24,5.180712,20.967254,180.0,bottom
R25,4.820712,18.807254,270.0,bottom
R26,5.180712,20.207254,180.0,bottom
R27,15.900712,15.097254,0.0,bottom
R28,16.570712,9.227254,90.0,bottom
R29,21.070712,5.907254,0.0,bottom
R3,-2.379288,14.367254,0.0,bottom
R30,21.070712,6.687254,0.0,bottom
R31,7.280712,7.367254,90.0,top
R32,8.040712,7.367254,90.0,top
R33,8.800712,7.367254,90.0,top
R34,5.760712,7.367254,90.0,top
R35,6.520712,7.367254,90.0,top
R36,10.280712,7.227254,270.0,top
R37,10.280712,8.697254,90.0,top
R38,14.690712,19.787254,0.0,bottom
R4,-0.749288,14.477254,90.0,bottom
R5,-0.099288,21.347254,0.0,bottom
R6,-1.789288,21.227254,180.0,bottom
R7,3.640712,20.867254,270.0,top
R8,-4.049288,9.077254,0.0,bottom
R9,-2.179288,8.738947,270.0,bottom
TP1,0.500712,22.217254,0.0,bottom
TP12,-4.219288,22.747254,0.0,bottom
TP2,10.440712,15.987254,0.0,bottom
TP5,3.020712,0.927254,0.0,top
TP9,-1.519288,6.567254,0.0,bottom
U1,-2.829288,11.598947,90.0,bottom
U10,17.080712,11.567254,0.0,bottom
U11,10.040712,15.487254,180.0,top
U13,12.260712,8.257254,180.0,top
U14,19.430712,10.507254,270.0,top
U15,19.430712,16.977254,270.0,top
U16,9.710712,9.107254,0.0,bottom
U17,18.560712,13.737254,0.0,top
U19,11.270712,18.607254,0.0,bottom
U2,3.950712,16.203054,180.0,bottom
U3,5.170712,4.257254,180.0,bottom
U4,-1.169288,19.827254,0.0,top
U5,7.336978,9.473198,0.0,top
U6,16.300712,19.222254,0.0,top
Y1,15.830712,14.937254,180.0,top
Y2,15.720712,12.407254,180.0,top
